event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
40047,0.079,0.026,3.03846,6971,6971,6971
42812,0.109,0.028,3.89286,7844,7844,7844
45245,0.117,0.028,4.17857,8454,8454,8454
38370,0.094,0.025,3.76,7387,7387,7387
32639,0.056,0.023,2.43478,5801,5801,5801
37344,0.069,0.025,2.76,6873,6873,6873
53131,0.16,0.033,4.84848,12253,12253,12253
33472,0.059,0.024,2.45833,6489,6489,6489
40111,0.1,0.027,3.7037,8344,8344,8344
41975,0.112,0.028,4,8401,8401,8401
43733,0.118,0.029,4.06897,9230,9230,9230
40149,0.093,0.026,3.57692,7431,7431,7431
42439,0.107,0.027,3.96296,7825,7825,7825
46088,0.101,0.029,3.48276,8696,8696,8696
37679,0.076,0.025,3.04,7134,7134,7134
51900,0.159,0.033,4.81818,12417,12417,12417
49023,0.144,0.032,4.5,12013,12013,12011
47180,0.121,0.029,4.17241,8222,8222,8222
37437,0.091,0.025,3.64,7331,7331,7331
39338,0.072,0.026,2.76923,7290,7290,7290
40240,0.08,0.027,2.96296,7785,7785,7785
48057,0.117,0.031,3.77419,9405,9405,9405
39616,0.096,0.026,3.69231,7883,7883,7882
37009,0.089,0.025,3.56,6543,6543,6542
41601,0.107,0.028,3.82143,8048,8048,8047
40866,0.104,0.027,3.85185,8023,8023,8023
38173,0.072,0.025,2.88,7055,7055,7055
50438,0.146,0.031,4.70968,10686,10685,10685
36072,0.066,0.025,2.64,6699,6699,6699
35250,0.083,0.025,3.32,6786,6786,6785
41717,0.103,0.027,3.81481,8161,8161,8161
40442,0.105,0.027,3.88889,8827,8827,8827
52803,0.157,0.034,4.61765,11647,11647,11647
34364,0.078,0.025,3.12,6624,6624,6624
44642,0.118,0.029,4.06897,9012,9012,9012
34525,0.061,0.025,2.44,6358,6358,6358
39574,0.1,0.027,3.7037,7754,7754,7754
45834,0.122,0.029,4.2069,9381,9381,9381
39452,0.096,0.026,3.69231,7395,7395,7395
33713,0.082,0.025,3.28,6665,6665,6665
50042,0.12,0.031,3.87097,9276,9276,9276
32950,0.071,0.023,3.08696,5934,5934,5934
29731,0.047,0.022,2.13636,4661,4661,4661
49217,0.131,0.031,4.22581,9174,9174,9174
41306,0.102,0.027,3.77778,7809,7809,7809
31872,0.07,0.023,3.04348,5670,5670,5670
42046,0.109,0.028,3.89286,8033,8033,8033
48638,0.131,0.03,4.36667,9615,9615,9615
37776,0.093,0.026,3.57692,7760,7760,7760
37330,0.087,0.025,3.48,7074,7074,7074
37280,0.081,0.024,3.375,6077,6077,6077
29088,0.06,0.021,2.85714,3794,3794,3794
52269,0.156,0.034,4.58824,12022,12022,12021
34074,0.058,0.024,2.41667,5929,5929,5929
38079,0.09,0.025,3.6,6652,6652,6652
43298,0.114,0.028,4.07143,9120,9120,9120
41652,0.101,0.027,3.74074,7939,7939,7939
49489,0.133,0.03,4.43333,9997,9997,9997
47882,0.143,0.032,4.46875,10566,10566,10566
45034,0.117,0.029,4.03448,9424,9424,9420
39287,0.087,0.027,3.22222,8425,8424,8423
33085,0.058,0.024,2.41667,5614,5614,5614
40518,0.096,0.025,3.84,6684,6684,6684
33922,0.076,0.024,3.16667,6080,6080,6080
22997,0.05,0.02,2.5,4084,4084,4084
38982,0.092,0.026,3.53846,7397,7397,7397
32490,0.077,0.024,3.20833,6112,6112,6112
53966,0.16,0.034,4.70588,10814,10814,10814
37779,0.093,0.027,3.44444,7907,7907,7906
50594,0.143,0.032,4.46875,11096,11096,11096
40289,0.088,0.026,3.38462,6921,6921,6921
52575,0.144,0.033,4.36364,11233,11233,11233
38164,0.089,0.025,3.56,6832,6832,6832
45513,0.124,0.03,4.13333,9875,9875,9875
33577,0.074,0.024,3.08333,5722,5722,5722
46593,0.111,0.03,3.7,9503,9504,9503
47987,0.118,0.03,3.93333,9928,9928,9928
45227,0.124,0.028,4.42857,9284,9284,9284
39575,0.093,0.026,3.57692,7290,7290,7289
50504,0.15,0.032,4.6875,11310,11310,11310
49278,0.131,0.03,4.36667,9214,9214,9214
43086,0.112,0.028,4,8919,8919,8919
40463,0.086,0.026,3.30769,7127,7127,7127
56115,0.174,0.036,4.83333,12253,12253,12253
39664,0.095,0.026,3.65385,7685,7685,7685
42351,0.103,0.027,3.81481,7318,7318,7318
35427,0.085,0.025,3.4,6484,6484,6484
45524,0.12,0.03,4,9460,9460,9460
46974,0.124,0.03,4.13333,9370,9370,9370
39540,0.098,0.027,3.62963,6978,6978,6978
47534,0.129,0.03,4.3,9461,9461,9461
49006,0.137,0.031,4.41935,10496,10496,10496
34036,0.076,0.024,3.16667,5859,5859,5859
43985,0.116,0.029,4,9706,9706,9706
37472,0.095,0.026,3.65385,7607,7607,7607
40116,0.101,0.027,3.74074,7970,7970,7970
46669,0.13,0.03,4.33333,9977,9977,9977
34912,0.08,0.024,3.33333,6101,6101,6101
44573,0.115,0.028,4.10714,8329,8329,8329
47299,0.132,0.031,4.25806,10317,10317,10317
74411,0.312,0.049,6.36735,18398,18398,18396
69542,0.251,0.044,5.70455,15985,15985,15985
77618,0.335,0.051,6.56863,19521,19521,19521
76625,0.31,0.051,6.07843,19120,19120,19119
68582,0.269,0.045,5.97778,17472,17472,17472
70962,0.275,0.046,5.97826,16524,16524,16524
96532,0.563,0.076,7.40789,28407,28407,28405
61216,0.214,0.041,5.21951,14909,14909,14908
84273,0.395,0.06,6.58333,22216,22216,22216
73072,0.305,0.049,6.22449,18194,18194,18193
78024,0.352,0.054,6.51852,21060,21060,21059
66150,0.22,0.043,5.11628,15739,15739,15739
