event_size,cpu_time,gpu_time,speedup,cpu_seeds,gpu_seeds,seed_matches
40047,0.0715058,0.117913,0.60643,6971,6971,6971
42812,0.0878357,0.120317,0.730037,7844,7844,7844
45245,0.0922662,0.126227,0.730957,8454,8454,8454
38370,0.0694175,0.115662,0.600175,7387,7387,7387
32639,0.0525549,0.109478,0.480049,5801,5801,5801
37344,0.0644912,0.113888,0.56627,6873,6873,6872
53131,0.135646,0.138357,0.980401,12253,12253,12252
33472,0.0542645,0.112026,0.484394,6489,6489,6489
40111,0.0780024,0.117297,0.664998,8344,8344,8344
41975,0.088154,0.120768,0.729945,8401,8401,8401
43733,0.0935257,0.123653,0.756354,9230,9230,9230
40149,0.0731379,0.119483,0.61212,7431,7431,7431
42439,0.0828576,0.117377,0.705908,7825,7825,7825
46088,0.0958185,0.12696,0.754714,8696,8696,8696
37679,0.0689972,0.114913,0.600432,7134,7134,7134
51900,0.13811,0.141714,0.974566,12417,12417,12417
49023,0.12317,0.137431,0.896228,12013,12013,12012
47180,0.0964465,0.122401,0.787952,8222,8222,8222
37437,0.0665277,0.113121,0.588112,7331,7331,7331
39338,0.0728029,0.119264,0.610436,7290,7290,7290
40240,0.0793885,0.118887,0.667763,7785,7785,7784
48057,0.108526,0.124848,0.869267,9405,9405,9405
39616,0.0729295,0.11861,0.614866,7883,7883,7883
37009,0.0653786,0.113801,0.574501,6543,6543,6543
41601,0.0855671,0.121429,0.704665,8048,8048,8048
40866,0.0823366,0.120335,0.684231,8023,8023,8023
38173,0.0673769,0.114908,0.586354,7055,7055,7055
50438,0.123185,0.134589,0.915263,10686,10686,10686
36072,0.0622452,0.113752,0.547198,6699,6699,6699
35250,0.0609652,0.113029,0.539376,6786,6786,6785
41717,0.0819173,0.1204,0.680378,8161,8161,8161
40442,0.0831332,0.120038,0.692557,8827,8827,8827
52803,0.136913,0.139057,0.984587,11647,11647,11646
34364,0.0581572,0.110382,0.526873,6624,6624,6624
44642,0.0957984,0.125102,0.765763,9012,9012,9012
34525,0.058221,0.11083,0.525316,6358,6358,6358
39574,0.0778705,0.120003,0.648903,7754,7754,7753
45834,0.100179,0.124594,0.804046,9381,9381,9381
39452,0.0745889,0.115534,0.645603,7395,7395,7395
33713,0.0611465,0.115454,0.52962,6665,6665,6665
50042,0.11607,0.131751,0.880979,9276,9276,9276
32950,0.0502655,0.109907,0.457344,5934,5934,5934
29731,0.0406169,0.107265,0.378659,4661,4661,4661
49217,0.109774,0.13403,0.819027,9174,9174,9174
41306,0.0815039,0.118943,0.685234,7809,7809,7808
31872,0.0493129,0.109319,0.451093,5670,5670,5670
42046,0.0858037,0.123527,0.694618,8033,8033,8033
48638,0.106751,0.131287,0.813112,9615,9615,9615
37776,0.069955,0.114868,0.609004,7760,7760,7760
37330,0.065329,0.114426,0.570926,7074,7074,7074
37280,0.0614935,0.114687,0.536185,6077,6077,6077
29088,0.0361208,0.106017,0.340708,3794,3794,3794
52269,0.133276,0.137843,0.966869,12022,12022,12022
34074,0.0544007,0.11216,0.485026,5929,5929,5929
38079,0.0670666,0.115168,0.582338,6652,6652,6652
43298,0.0928368,0.123351,0.752622,9120,9120,9120
41652,0.082183,0.119005,0.690587,7939,7939,7939
49489,0.111232,0.1338,0.83133,9997,9997,9997
47882,0.121069,0.13107,0.923702,10566,10566,10566
45034,0.0960292,0.126608,0.758475,9424,9424,9422
39287,0.0784773,0.117274,0.669178,8425,8425,8424
33085,0.0519476,0.111824,0.464549,5614,5614,5614
40518,0.072446,0.115714,0.626076,6684,6684,6684
33922,0.0533749,0.111729,0.477719,6080,6080,6080
22997,0.0265331,0.102257,0.259475,4084,4084,4083
38982,0.0696131,0.116382,0.598146,7397,7397,7397
32490,0.0541895,0.111177,0.487419,6112,6112,6112
53966,0.136974,0.140264,0.976541,10814,10814,10814
37779,0.0725066,0.11618,0.624088,7907,7907,7907
50594,0.121008,0.133394,0.907151,11096,11096,11096
40289,0.0718171,0.115701,0.620715,6921,6921,6921
52575,0.136436,0.139415,0.978631,11233,11233,11232
38164,0.0666472,0.116374,0.572699,6832,6832,6832
45513,0.0999547,0.126211,0.791965,9875,9875,9874
33577,0.0530744,0.111069,0.477853,5722,5722,5722
46593,0.103462,0.127084,0.814125,9503,9503,9500
47987,0.110122,0.129169,0.852543,9928,9928,9928
45227,0.098245,0.127877,0.768278,9284,9284,9284
39575,0.0722311,0.118682,0.608613,7290,7290,7290
50504,0.126387,0.135461,0.933014,11310,11310,11310
49278,0.111195,0.134105,0.829167,9214,9214,9214
43086,0.0893627,0.12451,0.717715,8919,8919,8919
40463,0.0776,0.121657,0.637857,7127,7127,7126
56115,0.152687,0.141951,1.07563,12253,12253,12253
39664,0.0730932,0.116914,0.625189,7685,7685,7685
42351,0.0837274,0.12997,0.644205,7318,7318,7318
35427,0.0616793,0.114805,0.537253,6484,6484,6484
45524,0.0961791,0.121037,0.794627,9460,9460,9460
46974,0.103793,0.131122,0.791574,9370,9370,9369
39540,0.074224,0.116054,0.639562,6978,6978,6978
47534,0.103281,0.129179,0.79952,9461,9461,9461
